WELL_ID,YEAR,HEAD
699-41-35,1995.62765229295,126.549
699-41-35,1995.73716632444,126.585
699-41-35,1995.77549623546,126.582
699-41-35,1995.81656399726,126.576
699-41-35,1995.92881587953,126.497
699-41-35,1996.00821355236,126.567
699-41-35,1996.25735797399,126.454
699-41-35,1996.47091033539,126.555
699-41-35,1996.53935660506,126.585
699-41-35,1996.80492813142,126.39
699-41-35,1997.05407255305,126.524
699-41-35,1997.19370294319,126.442
699-41-35,1997.43737166324,126.473
699-41-35,1997.70841889117,126.43
699-41-35,1997.92744695414,126.329
699-41-35,1998.20944558522,126.281
699-41-35,1998.43668720055,126.238
699-41-35,1998.70773442847,126.177
699-41-35,1998.93497604381,126.061
699-41-35,1999.18685831622,126.07
699-41-35,1999.45790554415,125.994
699-41-35,1999.73990417522,125.796
699-41-35,1999.95893223819,125.799
699-41-35,2000.22724161533,125.769
699-41-35,2000.2765229295,125.766
699-41-35,2000.47091033539,125.735
699-41-35,2000.54483230664,125.686
699-41-35,2000.72553045859,125.639
699-41-35,2001.19644079398,125.596
699-41-35,2001.2758384668,125.592
699-41-35,2001.4674880219,125.466
699-41-35,2001.54414784394,125.442
699-41-35,2001.71937029432,125.411
699-41-35,2001.82614647502,125.357
699-41-35,2002.05886379192,125.4
699-41-35,2002.19849418207,125.323
699-41-35,2002.31074606434,125.199
699-41-35,2002.5735797399,125.217
699-41-35,2002.70773442847,125.268
699-41-35,2003.20602327173,125.119
699-41-35,2003.71526351814,125.052
699-41-35,2003.80561259411,125.006
699-41-35,2004.05475701574,124.902
699-41-35,2004.20807665982,125.044
699-41-35,2004.24914442163,124.915
699-41-35,2004.51471594798,124.903
699-41-35,2004.72553045859,124.811
699-41-35,2004.80219028063,124.913
699-41-35,2005.05133470226,124.807
699-41-35,2005.22381930185,124.862
699-41-35,2005.73032169747,124.708
699-41-35,2006.32169746749,124.611
699-41-35,2006.71868583162,124.568
699-41-35,2007.20054757016,124.46
699-41-35,2007.68514715948,124.442
699-41-35,2008.03832991102,124.375
